供应商ID,W001T1,W001T2,W001T3,W001T4,W001T5,W001T6,W001T7,W001T8,W002T1,W002T2,W002T3,W002T4,W002T5,W002T6,W002T7,W002T8,W003T1,W003T2,W003T3,W003T4,W003T5,W003T6,W003T7,W003T8,W004T1,W004T2,W004T3,W004T4,W004T5,W004T6,W004T7,W004T8,W005T1,W005T2,W005T3,W005T4,W005T5,W005T6,W005T7,W005T8,W006T1,W006T2,W006T3,W006T4,W006T5,W006T6,W006T7,W006T8,W007T1,W007T2,W007T3,W007T4,W007T5,W007T6,W007T7,W007T8,W008T1,W008T2,W008T3,W008T4,W008T5,W008T6,W008T7,W008T8,W009T1,W009T2,W009T3,W009T4,W009T5,W009T6,W009T7,W009T8,W010T1,W010T2,W010T3,W010T4,W010T5,W010T6,W010T7,W010T8,W011T1,W011T2,W011T3,W011T4,W011T5,W011T6,W011T7,W011T8,W012T1,W012T2,W012T3,W012T4,W012T5,W012T6,W012T7,W012T8,W013T1,W013T2,W013T3,W013T4,W013T5,W013T6,W013T7,W013T8,W014T1,W014T2,W014T3,W014T4,W014T5,W014T6,W014T7,W014T8,W015T1,W015T2,W015T3,W015T4,W015T5,W015T6,W015T7,W015T8,W016T1,W016T2,W016T3,W016T4,W016T5,W016T6,W016T7,W016T8,W017T1,W017T2,W017T3,W017T4,W017T5,W017T6,W017T7,W017T8,W018T1,W018T2,W018T3,W018T4,W018T5,W018T6,W018T7,W018T8,W019T1,W019T2,W019T3,W019T4,W019T5,W019T6,W019T7,W019T8,W020T1,W020T2,W020T3,W020T4,W020T5,W020T6,W020T7,W020T8,W021T1,W021T2,W021T3,W021T4,W021T5,W021T6,W021T7,W021T8,W022T1,W022T2,W022T3,W022T4,W022T5,W022T6,W022T7,W022T8,W023T1,W023T2,W023T3,W023T4,W023T5,W023T6,W023T7,W023T8,W024T1,W024T2,W024T3,W024T4,W024T5,W024T6,W024T7,W024T8
S001,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,,,,,,,0.3247115384615384,,
S002,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,,,,1.1841773182957394,,,,,
S003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S004,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,,,,,0.9709392048081366,,,,
S005,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,,,,28.346344318551008,,,,,
S006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S007,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,,,,36.10334310745196,,,,,
S008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S009,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,,,,,0.6616232638888887,,,,
S010,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,,,,,,,0.9234090909090908,,
S011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S012,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,,,,0.305735294117647,,,,,
S013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
